Time, Normal Cells, Abnormal Cells, Invasive Cells, Average Stickiness, Average Jump Rate, Membrane Density
0,95600,1,0,0.9,1,1,
0.00666667,95600,1,0,0.9,1,1,
0.0133333,95600,1,0,0.9,1,1,
0.02,95600,1,0,0.9,1,1,
0.0266667,95600,1,0,0.9,1,1,
0.0333333,95600,1,0,0.9,1,1,
0.04,95600,1,0,0.9,1,1,
0.0466667,95600,1,0,0.9,1,1,
0.0533333,95600,1,0,0.9,1,1,
0.06,95600,1,0,0.9,1,1,
0.0666667,95600,1,0,0.9,1,1,
0.0733333,95600,1,0,0.9,1,1,
0.08,95600,1,0,0.9,1,1,
0.0866667,95600,1,0,0.9,1,1,
0.0933333,95600,1,0,0.9,1,1,
0.1,95600,1,0,0.9,1,1,
0.106667,95600,1,0,0.9,1,1,
0.113333,95600,1,0,0.9,1,1,
0.12,95600,1,0,0.9,1,1,
0.126667,95600,1,0,0.9,1,1,
0.133333,95600,1,0,0.9,1,1,
0.14,95600,2,0,0.856602,1,1,
0.146667,95600,2,0,0.856602,1,1,
0.153333,95600,2,0,0.856602,1,1,
0.16,95600,2,0,0.856602,1,1,
0.166667,95600,2,0,0.856602,1,1,
0.173333,95600,2,0,0.856602,1,1,
0.18,95600,2,0,0.856602,1,1,
0.186667,95600,2,0,0.856602,1,1,
0.193333,95600,2,0,0.856602,1,1,
0.2,95600,2,0,0.856602,1,1,
0.206667,95600,2,0,0.856602,1,1,
0.213333,95600,2,0,0.856602,1,1,
0.22,95600,2,0,0.856602,1,1,
0.226667,95600,2,0,0.856602,1,1,
0.233333,95600,2,0,0.856602,1,1,
0.24,95600,2,0,0.856602,1,1,
0.246667,95600,2,0,0.856602,1,1,
0.253333,95600,2,0,0.856602,1,1,
0.26,95600,2,0,0.856602,1,1,
0.266667,95600,3,0,0.83178,1.33333,1,
0.273333,95600,3,0,0.83178,1.33333,1,
0.28,95600,3,0,0.83178,1.33333,1,
0.286667,95600,4,0,0.842452,1.25,1,
0.293333,95600,4,0,0.842452,1.25,1,
0.3,95600,4,0,0.842452,1.25,1,
0.306667,95600,4,0,0.842452,1.25,1,
0.313333,95600,4,0,0.842452,1.25,1,
0.32,95600,4,0,0.842452,1.25,1,
0.326667,95600,4,0,0.842452,1.25,1,
0.333333,95600,4,0,0.842452,1.25,1,
0.34,95600,4,0,0.842452,1.25,1,
0.346667,95600,4,0,0.842452,1.25,1,
0.353333,95600,4,0,0.842452,1.25,1,
0.36,95600,4,0,0.842452,1.25,1,
0.366667,95600,4,0,0.842452,1.25,1,
0.373333,95600,4,0,0.842452,1.25,1,
